date,now_price,open,high,low,volume,va
2016-12-29,260.05,259.9,260.35,259.25,74.13K,-0.13%
2016-12-28,260.4,260.05,260.75,259.95,73.97K,0.35%
2016-12-27,259.5,258.9,259.5,258.85,33.82K,0.23%
2016-12-26,258.9,258.85,259.1,258.5,29.09K,0.12%
2016-12-23,258.6,258.8,259.1,258.45,51.64K,-0.19%
2016-12-22,259.1,259.4,259.65,258.8,59.36K,-0.04%
2016-12-21,259.2,260.15,260.95,259.15,87.63K,-0.06%
2016-12-20,259.35,259.15,259.9,258.95,67.63K,0.14%
2016-12-19,259,258.2,259.45,258.15,70.95K,0.19%
2016-12-16,258.5,257.9,259.15,257.7,87.05K,0.06%
2016-12-15,258.35,256.8,258.9,256.5,107.60K,-0.06%
2016-12-14,258.5,259.3,260,258.2,88.51K,0.19%
2016-12-13,258,257.75,258.4,257.35,75.02K,0.27%
2016-12-12,257.3,259,259,256.95,96.23K,-0.35%
2016-12-09,258.2,257.85,258.2,257.2,73.43K,-1.45%
2016-12-08,262,258.4,260.95,258.3,133.38K,2.26%
2016-12-07,256.2,256.2,256.65,255.6,85.04K,0.31%
2016-12-06,255.4,254.1,256.05,254.1,116.86K,1.07%
2016-12-05,252.7,252.2,252.95,251.45,107.58K,0.02%
2016-12-02,252.65,253.4,253.95,252.25,113.77K,-0.61%
2016-12-01,254.2,254.55,255.05,253.85,88.28K,0.02%
2016-11-30,254.15,253.05,254.95,253,132.95K,0.53%
2016-11-29,252.8,253.15,253.65,252.55,100.95K,-0.14%
2016-11-28,253.15,252.3,253.5,250.8,103.15K,0.38%
2016-11-25,252.2,252.8,253,251.9,84.70K,-0.10%
2016-11-24,252.45,253.65,253.9,251.65,109.60K,-0.43%
2016-11-23,253.55,252.7,254.65,252.3,94.90K,0.40%
2016-11-22,252.55,250.5,253.05,250.45,97.07K,1.10%
2016-11-21,249.8,249.8,250.8,249.25,84.05K,-0.24%
2016-11-18,250.4,250.95,251.05,249.3,91.21K,0.06%
2016-11-17,250.25,249.9,250.85,248.8,94.51K,-0.08%
2016-11-16,250.45,251.15,251.7,250.4,76.09K,0.36%
2016-11-15,249.55,250.35,251.3,249.55,95.00K,-0.44%
2016-11-14,250.65,252.2,252.8,250.35,108.89K,-0.81%
2016-11-11,252.7,253.4,254,252.15,117.52K,-1.02%
2016-11-10,255.3,253.9,255.65,253.1,179.72K,2.16%
2016-11-09,249.9,256.8,257.45,246.8,477.98K,-2.38%
2016-11-08,256,256.25,256.4,254.35,98.97K,0.33%
2016-11-07,255.15,255.8,255.9,254.3,96.40K,0.83%
2016-11-04,253.05,253.05,253.6,252.25,92.83K,-0.26%
2016-11-03,253.7,252.7,254,252.1,131.26K,0.22%
2016-11-02,253.15,254.5,254.95,252.8,124.46K,-1.31%
2016-11-01,256.5,256.05,256.5,253.8,135.73K,0.00%
2016-10-31,256.5,255.75,257.05,255.25,92.65K,-0.25%
2016-10-28,257.15,256.2,257.6,256.2,89.22K,0.10%
2016-10-27,256.9,256.45,257.15,255.9,91.69K,0.47%
2016-10-26,255.7,257.6,257.75,254.4,137.03K,-1.20%
2016-10-25,258.8,258.85,259.4,258.3,74.88K,-0.29%
2016-10-24,259.55,258.25,259.65,258.25,101.33K,0.74%
2016-10-21,257.65,258.5,258.9,257.15,100.52K,-0.35%
2016-10-20,258.55,258.6,259.65,258.35,81.93K,0.12%
2016-10-19,258.25,257.5,259.65,257.3,87.52K,0.06%
2016-10-18,258.1,256.4,258.2,256.3,82.87K,0.74%
2016-10-17,256.2,256.2,257.1,253.95,132.43K,0.20%
2016-10-14,255.7,255.05,256.5,255.05,103.49K,0.55%
2016-10-13,254.3,256.4,256.8,254.1,187.01K,-0.82%
2016-10-12,256.4,255.5,257.35,255.35,137.94K,-0.23%
2016-10-11,257,260.35,261.1,256.85,162.47K,-1.53%
2016-10-10,261,259.55,261.15,258.35,102.59K,0.17%
2016-10-07,260.55,261.15,261.55,260.3,70.70K,-0.21%
2016-10-06,261.1,261.35,261.8,260.05,88.95K,0.60%
2016-10-05,259.55,257.75,260,257,111.86K,0.02%
2016-10-04,259.5,259.45,260.4,259,75.38K,0.50%
2016-09-30,258.2,259,259.75,257.8,110.90K,-1.09%
2016-09-29,261.05,260.15,261.65,260.05,100.45K,0.83%
2016-09-28,258.9,259.6,259.8,258.8,66.37K,-0.58%
2016-09-27,260.4,257.3,260.4,255.9,150.31K,0.81%
2016-09-26,258.3,259.05,260,257.65,96.33K,-0.27%
2016-09-23,259,259.8,259.8,258.55,82.49K,-0.04%
2016-09-22,259.1,258.6,260.1,258.35,96.55K,0.97%
2016-09-21,256.6,254.9,256.85,254.7,108.00K,0.59%
2016-09-20,255.1,253.8,255.35,253.6,84.64K,0.20%
2016-09-19,254.6,251.05,254.85,251,92.74K,1.01%
2016-09-13,252.05,254.6,254.6,251.9,117.76K,0.14%
2016-09-12,251.7,253.5,254.5,251.15,147.89K,-2.44%
2016-09-09,258,259.2,259.65,257.2,122.22K,-1.10%
2016-09-08,260.86,260.7,261.45,259.55,128.29K,0.35%
2016-09-07,259.95,260.85,262.1,259.9,98.52K,-0.35%
2016-09-06,260.85,259.7,260.9,259.6,74.78K,0.40%
2016-09-05,259.8,257.8,259.85,257.75,110.93K,1.27%
2016-09-02,256.55,256.2,256.55,255.5,80.14K,0.12%
2016-09-01,256.25,255.15,256.25,254.05,112.79K,-0.10%
2016-08-31,256.5,257.65,257.8,256.15,92.51K,-0.56%
2016-08-30,257.95,257.4,259.1,257.3,103.18K,0.53%
2016-08-29,256.6,255,256.9,254.4,88.98K,-0.04%
2016-08-26,256.7,256.6,256.85,255.25,96.85K,-0.27%
2016-08-25,257.4,257,258.05,256.2,87.84K,0.14%
2016-08-24,257.05,258.25,258.55,256.7,85.05K,-0.50%
2016-08-23,258.35,257.4,258.5,257.25,83.05K,0.45%
2016-08-22,257.2,258.35,258.4,257,88.91K,-0.48%
2016-08-19,258.45,258.45,258.75,257.65,85.37K,-0.02%
2016-08-18,258.5,256.3,258.5,256,100.05K,0.90%
2016-08-17,256.2,256.15,256.65,255.2,93.65K,-0.14%
2016-08-16,256.55,257.4,258.2,256.3,86.77K,0.12%
2016-08-12,256.25,256.75,258.2,256.15,112.17K,0.08%
2016-08-11,256.05,255.5,256.05,254.65,125.36K,0.33%
2016-08-10,255.2,255.9,256.7,255.2,111.91K,-0.31%
2016-08-09,256,254.55,256.65,254.3,115.63K,0.71%
2016-08-08,254.2,253.95,254.65,252.9,102.83K,0.59%
2016-08-05,252.7,250,252.7,250,99.14K,1.24%
2016-08-04,249.6,250,250.45,248.85,96.19K,0.24%
2016-08-03,249,250.6,250.65,248.9,127.71K,-1.27%
2016-08-02,252.2,253.6,253.75,252.1,86.47K,-0.83%
2016-08-01,254.3,253.1,254.45,253.1,85.51K,0.75%
2016-07-29,252.4,252.25,253.75,251.8,131.42K,0.16%
2016-07-28,252,253.35,253.5,251.6,96.27K,-0.53%
2016-07-27,253.35,253.35,253.75,252.95,78.30K,0.02%
2016-07-26,253.3,250.75,253.3,250.45,107.44K,0.98%
2016-07-25,250.85,251.3,251.9,250.25,101.07K,0.04%
2016-07-22,250.75,249.75,251.15,249.15,79.99K,-0.06%
2016-07-21,250.9,251.65,251.65,250.4,72.70K,0.00%
2016-07-20,250.9,250.95,250.95,249.3,96.74K,-0.04%
2016-07-19,251,251.85,251.85,250.4,84.43K,-0.26%
2016-07-18,251.65,251.35,252.05,251.05,64.11K,0.16%
2016-07-15,251.25,250.95,252.15,250.25,114.03K,0.50%
2016-07-14,250,249.4,250.25,249,134.58K,0.26%
2016-07-13,249.35,249.55,250.55,248.45,177.59K,0.73%
2016-07-12,247.55,247.75,249.1,247.25,129.56K,0.10%
2016-07-11,247.3,246.2,248.15,246.2,133.84K,1.29%
2016-07-08,244.15,244.45,245.65,243.3,139.04K,-0.31%
2016-07-07,244.9,243.5,245.7,243,136.40K,1.14%
2016-07-06,242.15,246.45,246.45,241.8,196.31K,-2.12%
2016-07-05,247.4,247.65,247.85,246.8,81.93K,-0.26%
2016-07-04,248.05,247.15,248.2,246.6,89.57K,0.45%
2016-07-01,246.95,244.85,247.75,244.85,132.84K,1.11%
2016-06-30,244.25,244.5,244.6,243.05,136.38K,0.56%
2016-06-29,242.9,241.35,244.3,240.9,148.18K,0.96%
2016-06-28,240.6,237.35,240.9,237.2,143.16K,0.33%
2016-06-27,239.8,237.8,239.9,237.75,136.54K,0.36%
2016-06-24,238.95,248.1,248.75,235.95,380.80K,-3.34%
2016-06-23,247.2,247.15,247.55,246.6,76.43K,-0.08%
2016-06-22,247.4,245.4,247.75,245.25,125.91K,0.67%
2016-06-21,245.75,245.3,245.95,244.6,92.15K,0.02%
2016-06-20,245.7,245.25,246.1,244.6,109.46K,1.22%
2016-06-17,242.75,243.85,244.75,242.25,152.11K,0.29%
2016-06-16,242.05,244.1,244.25,241.15,136.25K,-0.86%
2016-06-15,244.15,243.6,244.8,242.85,123.54K,0.04%
2016-06-14,244.05,244.5,245.2,243.45,136.75K,-0.29%
2016-06-13,244.75,248.4,248.4,244.75,138.49K,-2.22%
2016-06-10,250.3,251.1,251.1,250.05,89.63K,-0.44%
2016-06-09,251.4,251.2,252.6,250.15,69.35K,0.20%
2016-06-08,250.9,249,251.35,248.8,37.63K,0.76%
2016-06-07,249,246.4,249,246.3,15.31K,1.30%
2016-06-03,245.8,244.7,245.8,243.9,7.10K,0.66%
2016-06-02,244.2,243.75,244.3,243.3,101.99K,0.21%
2016-06-01,243.7,242.7,244.05,242.45,115.65K,0.14%
2016-05-31,243.35,241.45,243.55,240.4,164.01K,0.66%
2016-05-30,241.75,242.1,242.25,240.5,110.71K,-0.17%
2016-05-27,242.15,241.5,242.45,241,109.08K,0.39%
2016-05-26,241.2,241.35,242.1,240.7,91.14K,-0.04%
2016-05-25,241.3,239.7,241.65,239.4,107.53K,1.34%
2016-05-24,238.1,239.3,239.3,237.95,88.81K,-0.69%
2016-05-23,239.75,239.35,240.1,237.9,105.55K,0.29%
2016-05-20,239.05,239,239.7,238.45,87.90K,0.06%
2016-05-19,238.9,239.15,239.6,238.75,78.71K,-0.17%
2016-05-18,239.3,240.45,240.45,238.35,134.79K,-0.81%
2016-05-17,241.25,241.2,241.45,240.4,81.93K,0.02%
2016-05-16,241.2,239.85,241.7,239.85,90.05K,0.33%
2016-05-13,240.4,242.45,242.7,240.35,114.80K,-1.03%
2016-05-12,242.9,242.35,243.3,241.7,149.80K,0.04%
2016-05-11,242.8,244.3,244.3,242,139.89K,-0.41%
2016-05-10,243.8,241.95,243.8,241.95,108.25K,0.52%
2016-05-09,242.55,243.45,243.45,242.1,86.76K,-0.33%
2016-05-04,243.35,243.2,243.85,242.4,103.52K,-0.45%
2016-05-03,244.45,244.9,244.9,243.85,78.57K,0.08%
2016-05-02,244.25,244.95,245.1,243.6,84.25K,-0.45%
2016-04-29,245.35,246.6,246.7,244.5,115.72K,-0.45%
2016-04-28,246.45,250.1,250.3,246.45,157.02K,-1.08%
2016-04-27,249.15,248.9,249.6,248.9,62.12K,-0.02%
2016-04-26,249.2,248.5,249.95,248.25,110.70K,0.28%
2016-04-25,248.5,248.8,248.9,247.6,83.25K,-0.08%
2016-04-22,248.7,248.9,249.5,248.45,89.30K,-0.48%
2016-04-21,249.9,249.2,250.25,248.75,101.78K,0.79%
2016-04-20,247.95,249.3,250.3,247.8,103.97K,-0.38%
2016-04-19,248.9,249.15,249.85,248.5,84.13K,0.22%
2016-04-18,248.35,247.25,248.55,246.85,94.99K,-0.44%
2016-04-15,249.45,249.3,250,248.95,88.13K,0.06%
2016-04-14,249.3,247.2,249.6,247.2,163.99K,2.09%
2016-04-12,244.2,242.55,244.4,242.25,133.38K,0.64%
2016-04-11,242.65,242.1,242.75,241.15,110.24K,0.19%
2016-04-08,242.2,241.2,242.35,240,124.80K,-0.33%
2016-04-07,243,243.5,243.8,241.75,115.30K,0.04%
2016-04-06,242.9,241.5,243.05,241.3,108.56K,0.66%
2016-04-05,241.3,242.7,242.9,241.05,109.11K,-0.90%
2016-04-04,243.5,243.2,243.8,242.7,73.34K,0.39%
2016-04-01,242.55,246.3,246.4,242.55,147.53K,-1.56%
2016-03-31,246.4,248.1,248.1,245.9,111.10K,-0.56%
2016-03-30,247.8,247.65,248.4,247.45,87.04K,0.45%
2016-03-29,246.7,245.45,246.95,245.3,107.42K,0.53%
2016-03-28,245.4,245,246,244.75,70.63K,0.14%
2016-03-25,245.05,245.65,245.85,244.75,63.14K,-0.12%
2016-03-24,245.35,245.1,246.05,244.25,118.34K,-0.18%
2016-03-23,245.8,246.3,247.1,245.6,111.02K,-0.24%
2016-03-22,246.4,245.5,246.4,245,91.39K,0.63%
2016-03-21,244.85,246.15,246.8,244.3,104.78K,-0.20%
2016-03-18,245.35,246.15,246.15,244.8,89.90K,0.06%
2016-03-17,245.2,244.75,247.25,244.75,143.51K,0.66%
2016-03-16,243.6,243.8,244.9,243.15,93.99K,0.14%
2016-03-15,243.25,243.3,244,242.25,89.47K,-0.04%
2016-03-14,243.35,244.8,244.8,243.05,80.32K,-0.10%
2016-03-11,243.6,243,244.05,242.9,100.76K,-0.08%
2016-03-10,243.8,241.4,244.05,241.05,59.91K,1.25%
2016-03-09,240.8,239.35,241.05,238.95,26.34K,0.35%
2016-03-08,239.95,241.85,241.85,238.9,18.14K,-0.62%
2016-03-07,241.45,240.65,241.45,240.4,8.01K,0.52%
2016-03-04,240.2,239.85,240.7,239.6,85.66K,0.08%
2016-03-03,240,239.9,240.15,239.4,98.44K,0.19%
2016-03-02,239.55,238.65,239.6,238.45,114.27K,1.85%
2016-02-29,235.2,235.25,236.85,235.15,125.78K,-0.25%
2016-02-26,235.8,236.85,237.15,235.75,117.89K,0.15%
2016-02-25,235.45,236,237.5,234.7,149.91K,0.09%
2016-02-24,235.25,235.3,236.15,234.35,134.72K,-0.32%
2016-02-23,236,236.65,236.8,234.95,123.97K,0.11%
2016-02-22,235.75,234.4,236.35,234.15,97.36K,0.38%
2016-02-19,234.85,234.2,235.3,234.2,104.88K,0.11%
2016-02-18,234.6,235.65,235.65,234.35,116.38K,0.90%
2016-02-17,232.5,231.5,233.7,231.45,142.35K,0.19%
2016-02-16,232.05,229.1,232.75,229.1,139.93K,1.44%
2016-02-15,228.75,228.2,229.45,227.75,117.88K,1.35%
2016-02-12,225.7,226.1,227.1,224.2,179.00K,-0.57%
2016-02-11,227,228.45,228.9,226.8,171.02K,-2.99%
2016-02-05,234,232.8,234.7,232.8,115.80K,0.17%
2016-02-04,233.6,231,233.75,230.45,161.64K,2.05%
2016-02-03,228.9,229.45,229.45,227.95,147.25K,-1.29%
2016-02-02,231.9,232.55,233.5,231.7,126.22K,-0.69%
2016-02-01,233.5,233.2,234.65,232.6,140.97K,0.52%
2016-01-29,232.3,230.9,232.3,229.3,190.77K,0.56%
2016-01-28,231,229.35,231.65,228.35,138.98K,0.02%
2016-01-27,230.95,229.65,231.55,229.65,154.44K,1.38%
2016-01-26,227.8,229.3,229.45,226.35,163.65K,-1.47%
2016-01-25,231.2,229.9,231.95,229.4,120.87K,0.65%
2016-01-22,229.7,226.65,229.7,226.65,170.69K,2.13%
2016-01-21,224.9,225.25,226.8,224.25,202.95K,0.54%
2016-01-20,223.7,229.3,229.3,223.3,190.39K,-2.95%
2016-01-19,230.5,229.05,230.5,227.2,168.73K,0.59%
2016-01-18,229.15,226.5,229.65,226.45,154.77K,0.04%
2016-01-15,229.05,233.8,234.15,228.25,174.27K,-1.74%
2016-01-14,233.1,231.45,233.1,229.65,194.83K,-0.60%
2016-01-13,234.5,232.15,234.75,232,146.51K,1.78%
2016-01-12,230.4,232.75,233,230.4,165.78K,-0.58%
2016-01-11,231.75,230.95,232.35,230.5,137.19K,-0.88%
2016-01-08,233.8,230.95,234.4,230.7,206.12K,0.56%
2016-01-07,232.5,234.3,235.2,232,166.30K,-1.25%
2016-01-06,235.45,236.7,236.7,233.7,181.50K,-0.40%
2016-01-05,236.4,234.9,237.4,234.9,155.78K,0.60%
2016-01-04,235,239.35,239.35,234.7,136.98K,-2.27%
